Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
22,4,0,0,0,1,0
22,5,0,0,3,1,0
22,6,0,0,2,1,0
22,7,0,0,1,1,0
22,8,0,0,3,1,0
22,9,0,0,0,1,0
22,10,0,0,4,1,0
22,11,0,0,2,1,0
22,12,0,0,5,1,0
22,13,0,0,3,1,0
22,14,0,0,1,1,0
22,15,0,0,2,1,0
22,16,0,0,5,1,0
22,17,0,0,1,1,0
22,18,0,0,2,1,0
22,19,0,0,1,1,0
22,20,0,0,5,1,0
22,21,-10,-10,5,1,1
23,1,0,0,3,1,0
23,2,0,0,2,1,0
23,3,0,0,4,1,0
23,4,0,0,5,1,0
23,5,0,0,1,1,0
23,6,0,0,0,1,0
23,7,0,0,0,1,0
23,8,0,0,4,1,0
23,9,0,0,5,1,0
23,10,-3,-3,2,1,0
23,11,-3,-6,4,1,0
23,12,0,-6,0,1,0
23,13,-3,-9,1,1,0
23,14,0,-9,3,1,0
23,15,-3,-12,0,1,0
23,16,0,-12,0,1,0
23,17,0,-12,5,1,0
23,18,0,-12,3,1,0
23,19,0,-12,4,1,0
23,20,0,-12,4,1,0
23,21,0,-12,5,1,0
23,22,0,-12,1,1,0
23,23,-3,-15,2,1,0
23,24,-13,-28,5,1,1
24,1,0,0,3,1,0
24,2,0,0,0,1,0
24,3,-10,-10,3,1,1
25,1,-1,-1,1,1,0
25,2,0,-1,3,1,0
25,3,0,-1,0,1,0
25,4,0,-1,1,1,0
25,5,0,-1,0,1,0
25,6,0,-1,3,1,0
25,7,0,-1,0,1,0
25,8,0,-1,0,1,0
25,9,-3,-4,0,1,0
25,10,0,-4,2,1,0
25,11,0,-4,4,1,0
25,12,0,-4,4,1,0
25,13,0,-4,2,1,0
25,14,0,-4,1,1,0
25,15,0,-4,1,1,0
25,16,0,-4,3,1,0
25,17,0,-4,4,1,0
25,18,0,-4,5,1,0
25,19,0,-4,1,1,0
25,20,0,-4,1,1,0
25,21,-1,-5,2,1,0
25,22,-1,-6,4,1,0
25,23,0,-6,3,1,0
25,24,-1,-7,2,1,0
25,25,-1,-8,1,1,0
25,26,0,-8,1,1,0
25,27,0,-8,4,1,0
25,28,50,42,5,1,0
25,29,0,42,4,1,0
25,30,0,42,4,1,0
25,31,0,42,3,1,0
25,32,0,42,0,1,0
25,33,0,42,4,1,0
25,34,0,42,1,1,0
25,35,0,42,5,1,0
25,36,0,42,4,1,0
25,37,0,42,0,1,0
25,38,0,42,5,1,0
25,39,0,42,4,1,0
25,40,-1,41,2,1,0
25,41,-1,40,4,1,0
25,42,-1,39,0,1,0
25,43,-1,38,1,1,0
25,44,0,38,3,1,0
25,45,-11,27,2,1,1
26,1,-3,-3,2,1,0
26,2,-3,-6,4,1,0
26,3,0,-6,0,1,0
26,4,0,-6,3,1,0
26,5,-3,-9,1,1,0
26,6,-3,-12,1,1,0
26,7,0,-12,3,1,0
26,8,0,-12,0,1,0
26,9,-10,-22,1,1,1
27,1,-3,-3,2,1,0
27,2,-1,-4,3,1,0
27,3,-1,-5,3,1,0
27,4,0,-5,3,1,0
27,5,0,-5,5,1,0
27,6,-1,-6,2,1,0
